Date,Median,FIPS,state
2021-06-30,320589.875,02,AK
2021-06-30,129572.584615385,01,AL
2021-06-30,102705.905405405,05,AR
2021-06-30,278163.466666667,04,AZ
2021-06-30,570864.465517241,06,CA
2021-06-30,408343.4375,08,CO
2021-06-30,343997.125,09,CT
2021-06-30,313929.666666667,10,DE
2021-06-30,250064.910447761,12,FL
2021-06-30,160324.93081761,13,GA
2021-06-30,730052,15,HI
2021-06-30,132822.454545455,19,IA
2021-06-30,297823.571428571,16,ID
2021-06-30,121278.635416667,17,IL
2021-06-30,159414.858695652,18,IN
2021-06-30,122734.986111111,20,KS
2021-06-30,121922.252173913,21,KY
2021-06-30,148050.238095238,22,LA
2021-06-30,614755.642857143,25,MA
2021-06-30,318841.625,24,MD
2021-06-30,233758.375,23,ME
2021-06-30,164042.096385542,26,MI
2021-06-30,196906.505747126,27,MN
2021-06-30,143668.546296296,29,MO
2021-06-30,118892.582089552,28,MS
2021-06-30,285420.194444444,30,MT
2021-06-30,196328.69,37,NC
2021-06-30,171200.461538462,38,ND
2021-06-30,144433.409836066,31,NE
2021-06-30,321933.6,33,NH
2021-06-30,396320.095238095,34,NJ
2021-06-30,186104.037037037,35,NM
2021-06-30,292705.25,32,NV
2021-06-30,281085.516129032,36,NY
2021-06-30,161933.261363636,39,OH
2021-06-30,104713.213333333,40,OK
2021-06-30,326449.194444444,41,OR
2021-06-30,180082.507462687,42,PA
2021-06-30,435127.2,44,RI
2021-06-30,165782.044444444,45,SC
2021-06-30,190293.548387097,46,SD
2021-06-30,169917.8,47,TN
2021-06-30,167659.533018868,48,TX
2021-06-30,380522.625,49,UT
2021-06-30,243491.293233083,51,VA
2021-06-30,260005.214285714,50,VT
2021-06-30,379998.051282051,53,WA
2021-06-30,191854.541666667,55,WI
2021-06-30,106817.961538462,54,WV
2021-06-30,291905.619047619,56,WY
